,kms_driven,owner,mileage,power,brand,engine,age,city,city_tier,price
5849,,1,,34.5,Bajaj,,5,Pimpri chinchwad,3,112000.0
5850,,1,68.0,10.7,Yamaha,125,11,24 pargana,3,27000.0
5851,,1,71.0,9.0,Honda,110,11,Thane,3,30000.0
5852,28500.0,1,40.0,19.8,Royal,350,10,Mumbai,1,75000.0
5853,5000.0,1,22.0,33.0,TVS,,4,Kurnool,2,180000.0
5854,15000.0,1,35.0,19.0,Bajaj,,4,Ghaziabad,2,100000.0
5855,68000.0,1,30.0,19.8,Royal,350,14,Agra,2,80000.0
5856,,2,65.0,14.85,Bajaj,150,13,Puri,3,22000.0
5857,7000.0,1,32.0,27.2,Royal,500,6,Mumbai,1,130000.0
5858,27000.0,2,40.0,17.0,Hero,223,14,24 pargana,3,28000.0
5859,28961.0,2,65.0,,Bajaj,125,10,Nadiad,3,20000.0
5860,31000.0,1,35.0,19.8,Royal,350,8,Narnaul,3,95000.0
5861,33000.0,1,42.0,16.7,Yamaha,150,7,Patna,2,83000.0
5862,,1,60.0,14.0,Honda,150,13,Pune,1,45000.0
5863,110586.0,1,65.0,,Hero,150,10,Tiruvannamalai,2,17400.0
5864,21500.0,1,35.0,19.8,Royal,350,5,Secunderabad,3,115900.0
5865,55000.0,1,40.0,19.0,Bajaj,220,7,Pune,1,60000.0
5866,39000.0,1,40.0,19.0,Bajaj,220,8,Faridabad,2,40000.0
5867,3000.0,1,40.0,18.3,Yamaha,150,2,Ambur,3,180000.0
5868,36000.0,1,37.0,19.0,Royal,350,11,Pune,1,98000.0
5869,18000.0,2,42.0,16.0,Yamaha,150,7,Jaipur,2,80000.0
5870,19622.0,1,40.0,19.8,Royal,350,8,Noida,3,80000.0
5871,90000.0,1,65.0,,Bajaj,135,14,Mumbai,1,28000.0
5872,41000.0,1,63.0,14.0,Suzuki,150,4,Thrissur,2,65000.0
5873,22000.0,1,64.0,,Yamaha,125,13,Bhopal,2,18000.0
5874,28000.0,3,35.0,25.0,KTM,200,7,Kottayam,3,113000.0
5875,,1,58.0,13.0,Yamaha,150,9,Karnal,2,40000.0
5876,38000.0,1,35.0,19.8,Royal,350,11,Noida,3,55346.0
5877,64000.0,1,40.0,19.0,Bajaj,220,8,Ahmedabad,1,40000.0
5878,172082.0,1,,12.0,Yamaha,150,10,Vidisha,3,25000.0
5879,15300.0,1,37.0,19.8,Royal,350,8,Delhi,1,90000.0
5880,,1,60.0,15.2,TVS,160,6,Mumbai,1,60000.0
5881,45000.0,1,35.0,19.8,Royal,350,6,Bangalore,1,135000.0
5882,,1,40.0,20.23,TVS,,3,Narnaul,3,110000.0
5883,50000.0,1,65.0,,Hero,150,7,Visakhapatnam,2,50000.0
5884,4350.0,1,39.4,18.1,Hero,,3,Surat,2,95000.0
5885,,1,65.0,15.0,Bajaj,150,6,Delhi,1,43000.0
5886,35000.0,1,55.0,8.9,Hero,125,8,Bhubaneshwar,3,41000.0
5887,,1,60.0,14.0,Honda,150,13,Lucknow,2,22700.0
5888,,1,42.0,23.2,Bajaj,,4,Sikar,3,87000.0
5889,16000.0,1,,14.6,Suzuki,150,4,Ranchi,3,75200.0
5890,2200.0,1,22.0,33.0,TVS,,4,Jamshedpur,2,180500.0
5891,60055.0,1,50.0,14.3,Bajaj,,6,Pune,1,34918.0
5892,12800.0,1,32.0,27.2,Royal,500,9,Bangalore,1,101000.0
